"DropC","x","y","sample"
146,124.248680532018,-34.2128756690711,"DAW-DC-001"
305,124.167696459068,-34.0087827697464,"DAW-DC-002"
515,124.103805234936,-34.1040342671659,"DAW-DC-003"
1164,124.130199232838,-33.6540947116501,"DAW-DC-004"
1609,124.147558842364,-34.0854027601918,"DAW-DC-005"
1772,124.256050177292,-33.9957123953085,"DAW-DC-006"
2137,124.056244026887,-33.8912468582635,"DAW-DC-007"
2249,124.177707932013,-33.6276252420702,"DAW-DC-008"
2625,124.018245049384,-33.7488971124234,"DAW-DC-009"
3070,124.221879608641,-34.2917227185384,"DAW-DC-010"
3223,124.228807126103,-33.8729860096729,"DAW-DC-011"
3432,124.034392540172,-34.1881336626138,"DAW-DC-012"
3588,124.00489382018,-33.9900003660497,"DAW-DC-013"
3708,124.254003277044,-33.8100962953157,"DAW-DC-014"
4081,124.103451437002,-33.7330244341399,"DAW-DC-015"
4529,124.181749468381,-34.168236196636,"DAW-DC-016"
4687,124.289800559483,-34.0838806208315,"DAW-DC-017"
4896,124.008267725273,-34.0896698362336,"DAW-DC-018"
5056,124.093505538528,-33.9743536776149,"DAW-DC-019"
5174,124.217422293338,-33.718979653389,"DAW-DC-020"
5538,124.079649745317,-33.6104097886479,"DAW-DC-021"
5986,124.276908953735,-34.1529140964871,"DAW-DC-022"
6145,124.137206298657,-33.9557183903692,"DAW-DC-023"
6348,124.074957672073,-34.2714028773079,"DAW-DC-024"
6502,123.999206889049,-33.8471329697827,"DAW-DC-025"
7006,124.136485534075,-33.8266286727076,"DAW-DC-026"
7453,124.12276208677,-34.2449802765285,"DAW-DC-027"
7614,124.244611861742,-33.8417505123847,"DAW-DC-028"
7988,124.059468283778,-34.0608045031709,"DAW-DC-029"
8114,124.181119731756,-33.7972839943611,"DAW-DC-030"
8926,124.214032764259,-34.2374976014915,"DAW-DC-031"
9088,124.171598476989,-34.0359093756646,"DAW-DC-032"
9299,124.065948377567,-34.1284196579506,"DAW-DC-033"
9460,124.032438811976,-33.9380619494109,"DAW-DC-034"
9575,124.288315572311,-33.6832439346675,"DAW-DC-035"
10394,124.173933237194,-34.1139975262395,"DAW-DC-036"
10558,124.275594274279,-33.9244052256712,"DAW-DC-037"
10772,124.011420081898,-34.2591487312027,"DAW-DC-038"
11040,124.24233957484,-33.6587426810574,"DAW-DC-039"
11386,124.097464829997,-34.3749302355195,"DAW-DC-040"
11426,124.02184346635,-33.7787217041569,"DAW-DC-041"
12023,124.165430748769,-33.8957365831771,"DAW-DC-042"
12230,124.102541401163,-34.2194848372875,"DAW-DC-043"
12897,124.122547768944,-33.6670361030571,"DAW-DC-044"
13344,124.147101398857,-34.1928495506091,"DAW-DC-045"
13502,124.24888766432,-34.0033103699623,"DAW-DC-046"
13874,124.062808908348,-33.9239446346608,"DAW-DC-047"
13990,124.160283752166,-33.7448267192922,"DAW-DC-048"
14362,124.015890688886,-33.638460900944,"DAW-DC-049"
14805,124.252244169875,-34.1056429143566,"DAW-DC-050"
14966,124.19882132674,-33.9866185858462,"DAW-DC-051"
15173,124.020953409687,-34.2947034199648,"DAW-DC-052"
15326,124.028684979149,-33.8759763106653,"DAW-DC-053"
15451,124.257610533659,-33.6328414283601,"DAW-DC-054"
15826,124.099242553856,-33.7435051533091,"DAW-DC-055"
16272,124.184542759269,-34.2758742261614,"DAW-DC-056"
16792,124.099074236488,-34.0177278308629,"DAW-DC-057"
16916,124.200777295671,-33.8281436850732,"DAW-DC-058"
17284,124.046125645939,-33.7265417354134,"DAW-DC-059"
17729,124.282812507497,-34.193590552353,"DAW-DC-060"
17883,124.136990772823,-34.0605280402524,"DAW-DC-061"
18096,124.086573639157,-34.0814006272254,"DAW-DC-062"
18254,123.997575688948,-33.9653188892561,"DAW-DC-063"
18373,124.288541546347,-33.7155323954215,"DAW-DC-064"
18750,124.149948436358,-33.6150459536034,"DAW-DC-065"
19083,124.028299742102,-34.3193657457256,"DAW-DC-066"
19203,124.126455614561,-34.1377628065733,"DAW-DC-067"
19371,124.244255321475,-33.9492529822955,"DAW-DC-068"
19738,124.086597470369,-33.8771239003485,"DAW-DC-069"
20674,124.194944286155,-34.2684937232826,"DAW-DC-070"
20828,124.201977637801,-33.8497322352181,"DAW-DC-071"
21037,124.05545376836,-34.1707123708803,"DAW-DC-072"
21196,124.034816859617,-34.0484252686161,"DAW-DC-073"
21325,124.26534845252,-33.79200984598,"DAW-DC-074"
21701,124.094698728372,-33.6894112277667,"DAW-DC-075"
22147,124.160647109055,-34.2205941440788,"DAW-DC-076"
22310,124.275517428596,-34.0292226379097,"DAW-DC-077"
22518,124.009060856645,-34.1488398446763,"DAW-DC-078"
22680,124.127336155601,-33.9577616921386,"DAW-DC-079"
22799,124.234700310911,-33.6716966533461,"DAW-DC-080"
23612,124.253209616345,-34.1298902521713,"DAW-DC-081"
23774,124.174230127219,-33.9393252850283,"DAW-DC-082"
23989,124.092814268208,-34.2537641239326,"DAW-DC-083"
24649,124.125518058175,-33.7721252303616,"DAW-DC-084"
25086,124.133776726873,-34.2994236049272,"DAW-DC-085"
25241,124.268217403063,-33.8997319225124,"DAW-DC-086"
25615,124.045206327821,-34.0410510693129,"DAW-DC-087"
25731,124.172329401046,-33.7536815991922,"DAW-DC-088"
26103,124.024860983003,-33.6794082399795,"DAW-DC-089"
26544,124.219002998411,-34.2190177094112,"DAW-DC-090"
26710,124.205185842719,-34.0219758736819,"DAW-DC-091"
26920,124.048211827515,-34.1111219025529,"DAW-DC-092"
27079,124.008329731627,-33.9203360162529,"DAW-DC-093"
27200,124.25751677847,-33.7377192143095,"DAW-DC-094"
27577,124.118672041564,-33.6398849103047,"DAW-DC-095"
27904,124.086879824691,-34.3500727263336,"DAW-DC-096"
28030,124.194704950577,-34.099222393673,"DAW-DC-097"
28556,124.103543288511,-33.9024311243268,"DAW-DC-098"
28674,124.230089885701,-33.6175982218152,"DAW-DC-099"
29050,124.055622343573,-33.7621383949378,"DAW-DC-100"
